episode,reward,avg_reward_100
0,-249.41,-249.41
1,-174.53,-211.97
2,-334.11,-252.68
3,-26.86,-196.23
4,-201.33,-197.25
5,-230.33,-202.76
6,-73.80,-184.34
7,-31.19,-165.19
8,-13.87,-148.38
9,38.75,-129.67
10,68.02,-111.70
11,189.46,-86.60
12,90.23,-73.00
13,184.26,-54.62
14,195.16,-37.97
15,499.77,-4.36
16,299.21,13.50
17,276.98,28.13
18,423.30,48.93
19,604.99,76.74
20,482.32,96.05
21,830.05,129.41
22,775.89,157.52
23,806.98,184.58
24,732.49,206.50
25,874.94,232.21
26,973.98,259.68
27,675.35,274.53
28,600.49,285.77
29,1127.76,313.83
30,757.95,328.16
31,1327.53,359.39
32,975.47,378.06
33,1073.42,398.51
34,855.90,411.58
35,1000.10,427.93
36,911.90,441.01
37,1121.36,458.91
38,1181.58,477.44
39,1334.60,498.87
40,1459.35,522.30
41,1401.47,543.23
42,1404.57,563.26
43,1525.75,585.13
44,1553.25,606.65
45,1631.49,628.93
46,1601.41,649.62
47,1802.96,673.65
48,1122.76,682.81
49,1160.68,692.37
50,1058.15,699.54
51,1811.55,720.93
52,1638.31,738.24
53,1889.65,759.56
54,1090.08,765.57
55,2092.80,789.27
56,1746.60,806.06
57,2085.72,828.13
58,1837.10,845.23
59,2369.13,870.63
60,1967.22,888.60
61,1571.03,899.61
62,2020.40,917.40
63,2273.56,938.59
64,1755.21,951.15
65,2084.06,968.32
66,2505.20,991.26
67,2856.24,1018.68
68,2708.23,1043.17
69,1034.79,1043.05
70,2606.67,1065.07
71,2741.03,1088.35
72,2059.16,1101.65
73,2799.57,1124.59
74,2734.71,1146.06
75,2710.60,1166.65
76,2683.73,1186.35
77,2830.25,1207.43
78,2983.72,1229.91
79,2772.27,1249.19
80,2275.12,1261.86
81,2845.40,1281.17
82,3008.84,1301.98
83,1927.74,1309.43
84,2973.12,1329.01
85,3021.04,1348.68
86,2216.28,1358.65
87,2742.66,1374.38
88,2954.85,1392.14
89,2965.54,1409.62
90,2898.89,1425.99
91,3206.65,1445.34
92,3139.80,1463.56
93,2958.14,1479.46
94,2996.63,1495.43
95,3011.45,1511.22
96,1624.41,1512.39
97,2269.64,1520.12
98,3136.87,1536.45
99,2005.69,1541.14
100,3073.66,1574.37
101,3089.48,1607.01
102,3241.56,1642.77
103,2285.27,1665.89
104,2360.75,1691.51
105,3128.22,1725.09
106,3198.15,1757.81
107,3269.24,1790.82
108,1754.99,1808.51
109,3204.23,1840.16
110,3270.60,1872.19
111,3273.99,1903.03
112,3271.40,1934.84
113,3241.72,1965.42
114,3310.96,1996.58
115,3221.57,2023.80
116,3421.48,2055.02
117,3355.00,2085.80
118,3313.50,2114.70
119,3202.41,2140.67
120,3443.65,2170.29
121,3472.97,2196.72
122,3425.17,2223.21
123,3495.00,2250.09
124,3410.44,2276.87
125,3350.30,2301.62
126,3529.73,2327.18
127,3434.61,2354.77
128,3550.31,2384.27
129,3393.89,2406.93
130,3458.46,2433.94
131,3654.78,2457.21
132,3439.32,2481.85
133,3474.55,2505.86
134,3398.91,2531.29
135,3461.43,2555.90
136,3470.92,2581.49
137,1314.89,2583.43
138,2278.92,2594.40
139,3566.39,2616.72
140,3429.82,2636.42
141,3650.49,2658.91
142,3365.07,2678.52
143,2765.87,2690.92
144,3095.31,2706.34
145,2595.82,2715.98
146,3130.98,2731.28
147,3607.98,2749.33
148,2310.94,2761.21
149,3435.97,2783.97
150,1807.50,2791.46
151,3636.53,2809.71
152,3533.02,2828.66
153,3642.73,2846.19
154,3605.42,2871.34
155,3648.25,2886.89
156,3579.83,2905.23
157,3609.52,2920.46
158,3666.92,2938.76
159,3486.09,2949.93
160,3736.26,2967.62
161,3692.55,2988.84
162,3685.57,3005.49
163,3692.59,3019.68
164,3802.30,3040.15
165,3634.99,3055.66
166,3587.64,3066.48
167,3851.25,3076.44
168,3741.39,3086.77
169,3718.68,3113.61
170,3815.19,3125.69
171,3820.49,3136.49
172,3694.36,3152.84
173,3789.12,3162.73
174,3605.60,3171.44
175,3694.27,3181.28
176,3623.92,3190.68
177,3626.45,3198.64
178,3924.78,3208.05
179,3678.71,3217.12
180,1285.47,3207.22
181,3937.45,3218.14
182,3758.61,3225.64
183,3709.66,3243.46
184,3711.05,3250.84
185,3732.14,3257.95
186,3787.13,3273.66
187,3713.34,3283.36
188,3802.79,3291.84
189,3713.62,3299.32
190,2426.31,3294.60
191,3787.83,3300.41
192,1158.90,3280.60
193,3779.79,3288.82
194,3886.11,3297.71
195,2504.47,3292.64
196,3726.18,3313.66
197,3961.33,3330.58
198,3871.79,3337.93
199,2588.25,3343.75
200,3860.78,3351.62
201,3791.05,3358.64
202,3804.31,3364.27
203,3700.07,3378.41
204,4053.24,3395.34
205,3852.28,3402.58
206,3866.16,3409.26
207,3937.52,3415.94
208,2766.53,3426.06
209,3770.73,3431.72
210,3971.91,3438.74
211,3952.23,3445.52
212,3960.34,3452.41
213,3880.32,3458.79
214,4051.90,3466.20
215,3800.31,3471.99
216,3859.36,3476.37
217,3939.27,3482.21
218,3964.13,3488.72
219,3885.22,3495.55
220,3939.51,3500.51
221,3981.26,3505.59
222,3985.42,3511.19
223,4082.54,3517.07
224,4157.95,3524.54
225,3990.09,3530.94
226,4092.21,3536.56
227,3855.15,3540.77
228,3964.94,3544.92
229,3880.05,3549.78
230,4071.20,3555.91
231,4067.45,3560.03
232,3984.61,3565.48
233,3992.06,3570.66
234,3915.58,3575.83
235,3864.45,3579.86
236,4142.56,3586.57
237,3977.78,3613.20
238,4003.97,3630.45
239,4112.37,3635.91
240,4213.61,3643.75
241,4112.03,3648.37
242,4206.83,3656.78
243,3988.98,3669.01
244,4073.87,3678.80
245,4103.70,3693.88
246,4017.13,3702.74
247,3970.04,3706.36
248,3947.86,3722.73
249,3978.99,3728.16
250,4010.28,3750.19
251,4117.50,3755.00
252,4041.35,3760.08
253,3974.27,3763.40
254,4057.72,3767.92
255,4044.72,3771.88
256,4005.97,3776.15
257,4122.14,3781.27
258,4115.36,3785.76
259,4068.50,3791.58
260,4043.90,3794.66
261,4212.95,3799.86
262,4024.89,3803.25
263,3908.06,3805.41
264,2793.56,3795.32
265,4126.04,3800.23
266,4075.75,3805.11
267,4025.91,3806.86
268,4194.53,3811.39
269,4129.80,3815.50
270,4020.71,3817.56
271,4163.52,3820.99
272,4103.33,3825.08
273,4026.39,3827.45
274,4054.63,3831.94
275,3976.97,3834.77
276,4306.61,3841.59
277,4087.60,3846.21
278,4222.37,3849.18
279,4086.56,3853.26
280,4285.02,3883.26
281,3989.25,3883.77
282,4154.21,3887.73
283,4100.32,3891.64
284,4117.45,3895.70
285,4169.78,3900.08
286,4299.83,3905.20
287,4062.44,3908.69
288,3913.10,3909.80
289,4199.17,3914.65
290,4198.28,3932.37
291,4117.56,3935.67
292,4126.08,3965.34
293,4261.20,3970.16
294,3800.28,3969.30
295,4080.23,3985.06
296,4052.12,3988.31
297,4271.31,3991.41
298,4225.33,3994.95
299,4237.30,4011.44
300,4232.86,4015.16
301,4096.08,4018.21
302,4151.41,4021.68
303,1410.49,3998.79
304,4203.89,4000.29
305,4166.75,4003.44
306,4078.46,4005.56
307,4117.08,4007.36
308,4222.35,4021.91
309,4094.06,4025.15
310,4227.20,4027.70
311,4159.63,4029.78
312,4283.61,4033.01
313,4249.55,4036.70
314,4197.12,4038.15
315,4169.63,4041.85
316,4214.23,4045.39
317,4216.29,4048.16
318,3823.99,4046.76
319,4203.97,4049.95
320,4213.97,4052.70
321,4105.36,4053.94
322,4237.06,4056.45
323,4202.38,4057.65
324,4019.94,4056.27
325,4132.61,4057.70
326,4368.14,4060.46
327,4334.52,4065.25
328,4303.20,4068.63
329,4321.02,4073.04
330,4309.46,4075.42
331,4259.25,4077.34
332,4134.41,4078.84
333,4239.69,4081.32
334,4156.22,4083.72
335,1803.83,4063.12
336,4318.70,4064.88
337,4191.37,4067.01
338,4237.72,4069.35
339,4240.62,4070.63
340,4201.97,4070.52
341,4284.89,4072.25
342,4260.79,4072.79
343,4223.15,4075.13
344,4338.25,4077.77
345,4310.89,4079.84
346,4245.38,4082.12
347,4401.91,4086.44
348,2315.61,4070.12
349,4268.59,4073.02
350,3548.09,4068.40
351,4215.06,4069.37
352,4394.84,4072.91
353,4241.05,4075.57
354,4246.74,4077.46
355,4235.51,4079.37
356,4315.67,4082.47
357,4367.39,4084.92
358,4299.50,4086.76
359,4466.61,4090.74
360,4183.07,4092.14
361,4415.67,4094.16
362,4203.66,4095.95
363,4260.23,4099.47
364,4480.54,4116.34
365,1813.45,4093.22
366,4430.00,4096.76
367,4349.86,4100.00
368,4262.83,4100.68
369,4358.10,4102.96
370,4496.40,4107.72
371,4331.33,4109.40
372,4357.61,4111.94
373,4253.24,4114.21
374,4313.70,4116.80
375,4173.61,4118.77
376,4448.37,4120.18
377,4295.47,4122.26
378,4555.10,4125.59
379,4527.80,4130.00
380,4419.04,4131.34
381,4303.27,4134.48
382,4438.48,4137.33
383,4352.45,4139.85
384,4406.55,4142.74
385,4365.03,4144.69
386,4395.82,4145.65
387,4486.85,4149.90
388,4380.70,4154.57
389,4461.74,4157.20
390,4476.19,4159.98
391,4421.88,4163.02
392,4295.07,4164.71
393,4328.05,4165.38
394,4456.18,4171.94
395,4467.47,4175.81
396,4421.96,4179.51
397,4461.47,4181.41
398,4374.22,4182.90
399,4463.36,4185.16
400,4429.66,4187.13
401,4408.73,4190.25
402,4516.85,4193.91
403,2675.89,4206.56
404,4562.89,4210.15
405,4496.40,4213.45
406,4381.36,4216.48
407,4344.66,4218.75
408,4406.28,4220.59
409,4212.23,4221.77
410,4453.25,4224.03
411,4456.12,4227.00
412,4362.38,4227.79
413,4461.20,4229.90
414,4331.35,4231.25
415,4369.65,4233.25
416,4367.83,4234.78
417,4638.88,4239.01
418,4446.69,4245.23
419,4631.49,4249.51
420,4641.19,4253.78
421,4459.16,4257.32
422,4306.19,4258.01
423,4328.55,4259.27
424,4384.40,4262.92
425,4439.07,4265.98
426,4492.16,4267.22
427,4304.08,4266.92
428,4461.21,4268.50
429,4386.36,4269.15
430,4619.78,4272.25
431,4409.64,4273.76
432,4568.46,4278.10
433,4566.58,4281.37
434,4510.72,4284.91
435,4430.20,4311.18
436,4524.63,4313.24
437,4413.97,4315.46
438,4418.79,4317.27
439,4425.31,4319.12
440,4428.41,4321.38
441,4243.14,4320.97
442,4457.38,4322.93
443,4458.74,4325.29
444,4482.74,4326.73
445,4638.42,4330.01
446,4645.35,4334.01
447,4389.94,4333.89
448,4442.78,4355.16
449,4579.25,4358.27
450,4415.96,4366.95
451,4479.61,4369.59
452,4475.69,4370.40
453,4488.42,4372.87
454,4668.77,4377.09
455,4289.13,4377.63
456,4505.74,4379.53
457,4364.33,4379.50
458,4574.03,4382.24
459,4482.64,4382.40
460,4584.09,4386.42
461,4553.29,4387.79
462,4581.57,4391.57
463,4474.58,4393.71
464,4647.64,4395.38
465,4541.96,4422.67
466,4554.53,4423.92
467,4641.63,4426.83
468,4369.90,4427.90
469,4471.90,4429.04
470,4640.93,4430.49
471,4631.81,4433.49
472,4512.53,4435.04
473,4549.96,4438.01
474,4462.90,4439.50
475,3683.91,4434.60
476,4564.48,4435.76
477,4545.82,4438.27
478,4555.90,4438.28
479,4603.35,4439.03
480,4501.70,4439.86
481,4551.82,4442.34
482,4582.99,4443.79
483,4548.05,4445.74
484,4465.06,4446.33
485,4470.34,4447.38
486,4515.91,4448.58
487,4404.66,4447.76
488,4585.81,4449.81
489,4545.06,4450.65
490,4595.36,4451.84
491,4655.86,4454.18
492,4570.10,4456.93
493,4743.16,4461.08
494,4505.31,4461.57
495,4716.38,4464.06
496,4700.02,4466.84
497,4652.11,4468.75
498,4613.16,4471.14
499,4723.18,4473.73
500,4516.31,4474.60
501,4509.84,4475.61
502,4611.80,4476.56
503,4592.82,4495.73
504,4598.59,4496.09
505,4643.42,4497.56
506,4569.57,4499.44
507,4746.75,4503.46
508,4646.68,4505.86
509,4534.47,4509.09
510,4733.13,4511.89
511,4540.50,4512.73
512,4790.50,4517.01
513,4692.86,4519.33
514,4816.92,4524.18
515,4423.12,4524.72
516,4686.09,4527.90
517,4733.91,4528.85
518,4551.15,4529.90
519,4703.07,4530.61
520,4421.18,4528.41
521,4607.61,4529.90
522,4455.70,4531.39
523,4723.63,4535.34
524,4653.91,4538.04
525,4656.38,4540.21
526,4639.51,4541.68
527,4848.00,4547.12
528,4493.60,4547.45
529,4716.53,4550.75
530,4572.77,4550.28
531,4554.94,4551.73
532,4336.97,4549.42
533,4542.68,4549.18
534,4701.77,4551.09
535,4615.21,4552.94
536,4793.13,4555.62
537,1791.44,4529.40
538,2643.17,4511.64
539,4703.63,4514.42
540,4571.99,4515.86
541,4732.44,4520.75
542,4577.92,4521.96
543,4473.20,4522.10
544,4599.91,4523.27
545,4641.26,4523.30
546,4582.56,4522.68
547,4760.13,4526.38
548,4734.97,4529.30
549,4637.85,4529.89
550,4561.98,4531.35
551,4604.98,4532.60
552,4685.46,4534.70
553,4559.60,4535.41
554,4611.55,4534.84
555,4604.12,4537.99
556,4691.52,4539.84
557,4613.35,4542.33
558,4651.95,4543.11
559,4637.58,4544.66
560,4659.89,4545.42
561,4625.08,4546.14
562,4669.71,4547.02
563,4623.29,4548.51
564,4727.94,4549.31
565,4605.42,4549.94
566,4619.05,4550.59
567,4623.38,4550.41
568,4617.29,4552.88
569,4623.19,4554.39
570,4685.73,4554.84
571,4647.25,4555.00
572,4656.28,4556.43
573,4635.48,4557.29
574,4559.93,4558.26
575,4677.96,4568.20
576,4805.91,4570.61
577,4586.62,4571.02
578,4729.45,4572.76
579,4710.49,4573.83
580,4628.88,4575.10
581,4582.40,4575.41
582,4691.39,4576.49
583,4629.05,4577.30
584,4707.89,4579.73
585,4494.28,4579.97
586,4720.21,4582.01
587,4737.35,4585.34
588,4668.05,4586.16
589,4656.39,4587.27
590,4770.16,4589.02
591,4624.34,4588.71
592,4632.41,4589.33
593,4789.53,4589.79
594,4549.27,4590.23
595,4482.47,4587.89
596,4752.68,4588.42
597,4629.21,4588.19
598,4615.01,4588.21
599,4833.28,4589.31
